cell_id,source_file,batch_date_inferred,cell_index,cycle_life,n_cycles_available,q_discharge_cycle_2,q_discharge_cycle_100,q_discharge_mean_2_100,q_charge_mean_2_100,capacity_fade_2_100,capacity_fade_pct_2_100,capacity_slope_2_100,ir_mean_2_100,ir_change_2_100,tavg_mean_2_100,tmax_mean_2_100,tmin_mean_2_100,chargetime_mean_2_100,chargetime_change_2_100,soh_cycle_100_proxy,screening_label
2017-05-12_cell_000,2017-05-12_batchdata_updated_struct_errorcorrect.mat,2017-05-12,0,1190.0,99,1.0706892,1.0759126,1.0805965747474746,1.0804340131313133,-0.005223400000000211,-0.4878539916158874,-0.00020680701298701683,0.01664332204040404,-7.520000000000096e-05,31.603747328822767,35.376748303030304,29.345268878787877,13.384230505050484,-0.0004883333326688444,100.48785399161588,Reuse
2017-05-12_cell_001,2017-05-12_batchdata_updated_struct_errorcorrect.mat,2017-05-12,1,1179.0,99,1.0753012,1.0806297,1.0812468797979797,1.0810921000000002,-0.005328500000000069,-0.49553557645058605,5.535292517010829e-06,0.016750843414141414,-4.199100000000164e-05,31.33031430692745,34.16065478787879,29.561504050505047,13.374696464646446,-0.08423333333363736,100.49553557645059,Reuse
2017-05-12_cell_002,2017-05-12_batchdata_updated_struct_errorcorrect.mat,2017-05-12,2,1177.0,99,1.0799223,1.0849404,1.0853711969696969,1.0851456515151514,-0.005018100000000025,-0.46467231948076504,1.0295625231905229e-05,0.01659959497979798,-1.3807000000001096e-05,31.47958411321121,34.54464383838384,29.640758727272726,13.378886329966337,0.0001250000001178364,100.46467231948077,Reuse
2017-05-12_cell_003,2017-05-12_batchdata_updated_struct_errorcorrect.mat,2017-05-12,3,1226.0,99,1.0797229,1.0847498,1.0849489696969699,1.0845464424242426,-0.005026900000000056,-0.46557315770556096,1.7136347557200054e-05,0.01614615604040404,3.858100000000281e-05,29.942198807956427,30.662263141414144,29.38564177777777,12.053277171717166,0.08401166666669013,100.46557315770556,Reuse
2017-05-12_cell_004,2017-05-12_batchdata_updated_struct_errorcorrect.mat,2017-05-12,4,1227.0,99,1.0784167,1.0826457,1.082843531313131,1.082700305050505,-0.004229000000000038,-0.39214897172864976,1.8994317872597186e-05,0.01650051357575757,-5.331399999999875e-05,31.44888383416564,34.38251588888889,29.487975303030296,12.053313636363642,-7.833333332563086e-05,100.39214897172866,Reuse
2017-05-12_cell_005,2017-05-12_batchdata_updated_struct_errorcorrect.mat,2017-05-12,5,1074.0,99,1.0761266,1.0797794,1.0803274434343435,1.0801648737373737,-0.0036528000000000116,-0.3394396161195171,1.1228400742114243e-05,0.016270388575757577,-0.0001118670000000016,30.92149771366389,33.02000678787879,29.24238684848485,15.07576803030309,-0.08435999999983324,100.3394396161195,Reuse
2017-05-12_cell_006,2017-05-12_batchdata_updated_struct_errorcorrect.mat,2017-05-12,6,636.0,99,1.0758358,1.0792426,1.0809117848484848,1.080420604040404,-0.003406800000000043,-0.31666542422180444,-4.80864687693515e-06,0.016507268545454545,-0.0003333460000000017,32.27384521945563,35.79263145454546,29.74772723232324,10.04485760942758,-0.08742499999960529,100.3166654242218,Conditional Reuse
2017-05-12_cell_007,2017-05-12_batchdata_updated_struct_errorcorrect.mat,2017-05-12,7,870.0,99,1.0938644,1.0957625,1.0969264323232324,1.096663804040404,-0.0018981000000000137,-0.1735224219747908,-6.4281880024777275e-06,0.016050141454545454,-3.842100000000029e-05,31.990084509217034,35.32269474747474,29.580063565656566,10.044094528619514,0.0010150000007040916,100.1735224219748,Conditional Reuse
2017-05-12_cell_008,2017-05-12_batchdata_updated_struct_errorcorrect.mat,2017-05-12,8,879.0,99,1.0899748,1.0941359,1.0947719373737375,1.094458098989899,-0.004161099999999918,-0.3817611196148679,5.429254174396712e-06,0.016711705707070708,2.1805999999999215e-05,32.076506270161325,34.45206194949494,30.31709192929293,11.24361163299663,0.08319500000034274,100.38176111961488,Conditional Reuse
2017-05-12_cell_009,2017-05-12_batchdata_updated_struct_errorcorrect.mat,2017-05-12,9,1054.0,99,1.0829742,1.0876312,1.0876998484848484,1.0874001565656566,-0.004656999999999911,-0.4300194778416615,1.820438589980905e-05,0.01683536523232323,-3.366599999999817e-05,32.64153361126789,35.98493365656566,30.276260303030305,11.241857609427619,0.0003433333333298094,100.43001947784167,Reuse
2017-05-12_cell_010,2017-05-12_batchdata_updated_struct_errorcorrect.mat,2017-05-12,10,906.0,99,1.0752757,1.0816405,1.0817046181818184,1.0809541363636364,-0.006364800000000059,-0.5919226111033719,2.529188002474074e-05,0.016396655616161614,8.308200000000168e-05,33.208150668462316,36.87145022222223,30.29658949494949,11.688040235690274,-0.00010833333386983668,100.59192261110337,Conditional Reuse
2017-05-12_cell_011,2017-05-12_batchdata_updated_struct_errorcorrect.mat,2017-05-12,11,788.0,99,1.0537786,1.0599719,1.060083885858586,1.0594954424242424,-0.006193300000000068,-0.5877230757960038,2.1809402597402313e-05,0.01603708411111111,-0.0003035779999999988,32.75932260623101,36.23175358585859,30.14975682828283,11.684114427609464,-0.0006250000000367351,100.58772307579599,Conditional Reuse
2017-05-12_cell_012,2017-05-12_batchdata_updated_struct_errorcorrect.mat,2017-05-12,12,902.0,99,1.077566,1.0819131,1.082155223232323,1.0817864303030305,-0.004347099999999937,-0.403418444902673,1.2573115646257225e-05,0.01643905623232323,-2.065599999999737e-05,33.4580219141428,37.448847525252525,30.39357482828283,10.68385405723906,-0.0001883333330621184,100.40341844490268,Conditional Reuse
2017-05-12_cell_013,2017-05-12_batchdata_updated_struct_errorcorrect.mat,2017-05-12,13,897.0,99,1.0797893,1.0836461,1.0842732373737374,1.0840700979797981,-0.0038567999999998825,-0.35718079443831147,4.458676561532405e-06,0.01703655094949495,-1.3330999999998372e-05,32.09216634315908,34.67959250505051,30.020152525252527,10.685353013468022,-0.08337000000034855,100.35718079443832,Conditional Reuse
2017-05-12_cell_014,2017-05-12_batchdata_updated_struct_errorcorrect.mat,2017-05-12,14,880.0,99,1.0709661,1.0762016,1.0761029171717171,1.0753645959595959,-0.005235500000000171,-0.4888576771944668,2.6234124922695655e-05,0.016975001838383838,-6.811500000000054e-05,33.07746279993842,36.63094507070707,30.081030757575764,14.925935387205387,0.08350333333337367,100.48885767719446,Conditional Reuse
2017-05-12_cell_015,2017-05-12_batchdata_updated_struct_errorcorrect.mat,2017-05-12,15,719.0,99,1.0611236,1.0677497,1.0676568858585858,1.066969591919192,-0.006626100000000079,-0.6244418652077929,2.9049360544208905e-05,0.016839986434343434,-0.0002532960000000001,33.147720104395674,37.056188636363636,29.95430322222223,14.92770846801342,-0.08335500000015017,100.6244418652078,Conditional Reuse
2017-05-12_cell_016,2017-05-12_batchdata_updated_struct_errorcorrect.mat,2017-05-12,16,862.0,99,1.0811664,1.0863206,1.0864695565656566,1.0858408646464648,-0.005154199999999998,-0.4767258767938032,2.316027458255733e-05,0.016528862282828287,-1.4819000000002719e-05,32.41716254671688,35.85141423232323,29.839730595959598,10.12547436026938,0.00037499999956125407,100.4767258767938,Conditional Reuse
2017-05-12_cell_017,2017-05-12_batchdata_updated_struct_errorcorrect.mat,2017-05-12,17,857.0,99,1.072052,1.0769763,1.0771062363636363,1.0768656303030304,-0.004924300000000104,-0.45933406215371114,1.788623129251605e-05,0.016676227535353534,2.2162999999998656e-05,32.088753858534446,35.43276257575758,29.510072111111107,10.13811205387206,0.08308000000012505,100.4593340621537,Conditional Reuse
2017-05-12_cell_018,2017-05-12_batchdata_updated_struct_errorcorrect.mat,2017-05-12,18,691.0,99,1.0661705,1.0645274,1.086443382828283,1.2397907818181817,0.0016430999999998974,0.15411231130479577,-0.00029454159059988063,0.018004754414141413,-0.003994543,31.831057275618022,35.415118353535355,29.92691219191919,9.925956313131316,0.00015833333257830873,99.8458876886952,Conditional Reuse
2017-05-12_cell_019,2017-05-12_batchdata_updated_struct_errorcorrect.mat,2017-05-12,19,788.0,99,1.0851147,1.0870851,1.0883684717171715,1.0882763343434345,-0.0019703999999998167,-0.18158449056121131,-1.0355845392708759e-05,0.01632486908080808,-6.60869999999994e-05,33.044085397077396,36.83902758585858,30.129123131313136,9.930255336700304,-0.0001500000004241997,100.1815844905612,Conditional Reuse
