cell_id,source_file,batch_date_inferred,cell_index,n_cycles_available,q_discharge_cycle_2,q_discharge_cycle_100,q_discharge_mean_2_100,q_charge_mean_2_100,capacity_fade_2_100,capacity_fade_pct_2_100,capacity_slope_2_100,ir_mean_2_100,ir_change_2_100,tavg_mean_2_100,tmax_mean_2_100,tmin_mean_2_100,chargetime_mean_2_100,chargetime_change_2_100,soh_cycle_100_proxy,screening_label,screening_label_encoded
2017-05-12_cell_002,2017-05-12_batchdata_updated_struct_errorcorrect.mat,2017-05-12,2,99,1.0799223,1.0849404,1.0853711969696969,1.0851456515151514,-0.0050181,-0.464672319480765,1.0295625231905227e-05,0.0165995949797979,-1.3807000000001096e-05,31.47958411321121,34.54464383838384,29.64075872727273,13.378886329966337,0.0001250000001178,100.46467231948075,Reuse,2
2017-05-12_cell_017,2017-05-12_batchdata_updated_struct_errorcorrect.mat,2017-05-12,17,99,1.072052,1.0769763,1.0771062363636363,1.0768656303030304,-0.0049243000000001,-0.4593340621537111,1.788623129251605e-05,0.0166762275353535,2.2162999999998656e-05,32.088753858534446,35.43276257575758,29.510072111111107,10.13811205387206,0.083080000000125,100.4593340621537,Conditional Reuse,0
2017-06-30_cell_025,2017-06-30_batchdata_updated_struct_errorcorrect.mat,2017-06-30,25,99,1.0672674,1.0676695,1.0705467858585858,1.0703348434343434,-0.0004021,-0.0376756565411884,-3.033035250464497e-05,0.0171856425858585,-0.000553833,29.80710204425891,31.199627848484848,28.715408454545454,10.052839006734022,0.0101233333332242,100.03767565654118,Recycle,1
2017-06-30_cell_044,2017-06-30_batchdata_updated_struct_errorcorrect.mat,2017-06-30,44,99,1.070887,1.0763599,1.0763495717171718,1.0762402111111111,-0.0054729,-0.5110623249698618,2.2273128014841293e-05,0.0176766118585858,0.000186326,33.028337173785644,37.83421164646465,30.278730616161617,10.132399242424222,-0.0001950000000459,100.51106232496988,Recycle,1
2017-05-12_cell_012,2017-05-12_batchdata_updated_struct_errorcorrect.mat,2017-05-12,12,99,1.077566,1.0819131,1.082155223232323,1.0817864303030305,-0.0043470999999999,-0.403418444902673,1.2573115646257224e-05,0.0164390562323232,-2.065599999999737e-05,33.4580219141428,37.448847525252525,30.39357482828283,10.68385405723906,-0.0001883333330621,100.40341844490268,Conditional Reuse,0
2017-05-12_cell_043,2017-05-12_batchdata_updated_struct_errorcorrect.mat,2017-05-12,43,99,1.0682389,1.0688359,1.070522194949495,1.070406282828283,-0.0005969999999999,-0.0558863752293572,-2.4014810142242883e-05,0.0161048555656565,0.000127854,33.33978265868144,36.82060524242424,30.25396716161616,11.17782324915825,0.0836866666665017,100.05588637522936,Conditional Reuse,0
2017-05-12_cell_025,2017-05-12_batchdata_updated_struct_errorcorrect.mat,2017-05-12,25,99,1.0752345,1.0780438,1.078847887878788,1.0782877686868686,-0.0028093,-0.2612732385354092,5.129313543567791e-07,0.0165961417979798,-1.1263999999996945e-05,33.848557073949294,37.99023987878788,30.57957213131313,12.13749808080808,0.000188333333396,100.26127323853542,Conditional Reuse,0
2018-04-12_cell_009,2018-04-12_batchdata_updated_struct_errorcorrect.mat,2018-04-12,9,99,1.0694826,1.0724456,1.0728593262626265,1.0726067080808084,-0.002963,-0.2770498556965816,6.680531849076843e-07,0.0157985837979798,-2.9396000000000977e-05,33.08832983925303,35.09617884754773,31.30390667786535,10.04115065656567,-0.0010399999999197,100.2770498556966,Reuse,2
2017-05-12_cell_019,2017-05-12_batchdata_updated_struct_errorcorrect.mat,2017-05-12,19,99,1.0851147,1.0870851,1.0883684717171715,1.0882763343434343,-0.0019703999999998,-0.1815844905612113,-1.035584539270876e-05,0.016324869080808,-6.60869999999994e-05,33.0440853970774,36.83902758585858,30.129123131313136,9.930255336700304,-0.0001500000004241,100.1815844905612,Conditional Reuse,0
2018-04-12_cell_015,2018-04-12_batchdata_updated_struct_errorcorrect.mat,2018-04-12,15,99,1.0684187,1.0693594,1.070546722222222,1.070577596969697,-0.0009406999999999,-0.0880460066825773,-1.156462213976757e-05,0.0153060112222222,-9.027200000000062e-05,33.51055049283859,36.80771071001127,30.87654298210456,10.04163658249164,0.0001383333328703,100.08804600668256,Conditional Reuse,0
2017-05-12_cell_033,2017-05-12_batchdata_updated_struct_errorcorrect.mat,2017-05-12,33,99,1.0924908,1.0937657,1.0954916464646465,1.0950465656565658,-0.0012749,-0.1166966348824245,-2.1812165739025278e-05,0.0164837756565656,-1.720699999999825e-05,33.67169761442224,37.73130442424242,30.36514987878788,10.129993047138068,0.0001883333334564,100.11669663488244,Conditional Reuse,0
2017-05-12_cell_044,2017-05-12_batchdata_updated_struct_errorcorrect.mat,2017-05-12,44,99,1.0847682,1.0847102,1.0868420717171718,1.086822982828283,5.800000000011352e-05,0.0053467644055304,-3.361546072974101e-05,0.0174138499696969,0.000152771,32.55333216968653,35.79095866666667,29.951694818181814,10.258049427609434,-0.0831416666671724,99.99465323559448,Conditional Reuse,0
2017-05-12_cell_026,2017-05-12_batchdata_updated_struct_errorcorrect.mat,2017-05-12,26,99,1.0876514,1.0893713,1.090574287878788,1.0905738262626263,-0.0017199000000001,-0.1581297095742356,-1.5210461348173988e-05,0.0162854918383838,1.2887999999999096e-05,33.15641406115227,36.41381293939394,30.38804886868687,10.800664208754249,-0.0006883333333771,100.15812970957424,Conditional Reuse,0
2017-05-12_cell_018,2017-05-12_batchdata_updated_struct_errorcorrect.mat,2017-05-12,18,99,1.0661705,1.0645274,1.086443382828283,1.2397907818181817,0.0016430999999998,0.1541123113047957,-0.0002945415905998,0.0180047544141414,-0.003994543,31.831057275618026,35.415118353535355,29.92691219191919,9.925956313131316,0.0001583333325783,99.8458876886952,Conditional Reuse,0
2017-06-30_cell_011,2017-06-30_batchdata_updated_struct_errorcorrect.mat,2017-06-30,11,99,1.0717047,1.0705185,1.074210614141414,1.0731762626262629,0.0011862,0.1106834746549143,-4.145734199134466e-05,0.0171955672020202,-0.00052274,33.20898159528337,37.23627671717172,30.52722790909091,10.135728484848489,0.0852133333333764,99.88931652534508,Recycle,1
2017-06-30_cell_041,2017-06-30_batchdata_updated_struct_errorcorrect.mat,2017-06-30,41,99,1.0682049,1.0736984,1.0747316464646464,1.0745392171717172,-0.0054935,-0.5142739936879188,1.664656524428442e-05,0.0177889226262626,-7.858999999999991e-05,33.13252315037761,37.45213359595959,30.281169101010097,10.141692306397326,0.0835666666665932,100.51427399368792,Recycle,1
2017-05-12_cell_045,2017-05-12_batchdata_updated_struct_errorcorrect.mat,2017-05-12,45,99,1.0839558,1.0858277,1.0871594505050506,1.086926824242424,-0.0018719,-0.17269154332677,-1.2920053184910836e-05,0.0166742515858585,0.0001503839999999,33.0005473910965,36.69642807070708,29.912547070707078,10.257274326599305,-0.0829749999996245,100.17269154332678,Conditional Reuse,0
2017-05-12_cell_039,2017-05-12_batchdata_updated_struct_errorcorrect.mat,2017-05-12,39,99,1.0817773,1.0847629,1.085658998989899,1.0856706424242424,-0.0029856000000001,-0.2759902615815791,-3.294477427336007e-06,0.0166911045555555,9.157099999999864e-05,33.50643317156701,37.40386024242424,30.3385617979798,10.242025976430943,0.0825033333334737,100.27599026158158,Conditional Reuse,0
